,"G","h","b","tw","tf","r","A","hi","d","fi","pmin","pmax","AL","AG","Iy","Wel.y","Wpl.y","iy","Avz","Iz","Wel.z","Wpl.z"," iz","ss","It","Iw",1,2,3,4
"HE 600 A",178,590,300,13,25,27,226.5,540,486,27,122,198,2.308,12.98,141200,4787,5350,24.97,93.21,11270,751.4,1156,7.05,94.63,397.8,8978,89,102,65,79
"HE 600 B",212,600,300,15.5,30,27,270,540,486,27,126,198,2.323,10.96,171000,5701,6425,25.17,110.8,13530,902,1391,7.08,107.1,667.2,10970,75,86,56,67
"HE 600 M",285,620,305,21,40,27,363.7,540,486,27,132,200,2.372,8.308,237400,7660,8772,25.55,149.7,18980,1244,1930,7.22,132.6,1564,15910,57,65,42,51
"HE 600 x 337",337,632,310,25.5,46,27,429.2,540,486,27,138,202,2.407,7.144,283200,8961,10380,25.69,180.5,22940,1480,2310,7.31,149.1,2451,19610,49,56,37,44
"HE 600 x 399",399,648,315,30,54,27,508.5,540,486,27,142,208,2.45,6.137,344600,10640,12460,26.03,213.6,28280,1796,2814,7.46,169.6,3966,24810,42,48,32,38
"HE 650 AA",138,620,300,12.5,16,27,175.8,588,534,27,122,198,2.369,17.17,113900,3676,4160,25.46,90.4,7221,481.4,750.7,6.41,76.13,167.5,6567,118,135,88,105
"HE 650 A",190,640,300,13.5,26,27,241.6,588,534,27,124,198,2.407,12.69,175200,5474,6136,26.93,103.2,11720,781.6,1205,6.97,97.13,448.3,11030,87,100,65,78
"HE 650 B",225,650,300,16,31,27,286.3,588,534,27,126,198,2.422,10.77,210600,6480,7320,27.12,122,13980,932.3,1441,6.99,109.6,739.2,13360,74,85,56,66
"HE 650 M",293,668,305,21,40,27,373.7,588,534,27,132,200,2.468,8.411,281700,8433,9657,27.45,159.7,18980,1245,1936,7.13,132.6,1579,18650,58,66,44,52
"HE 650 x 343",343,680,309,25,46,27,437.5,588,534,27,138,202,2.5,7.278,333700,9815,11350,27.62,189.6,22720,1470,2300,7.21,148.6,2442,22730,50,57,38,45
"HE 650 x 407",407,696,314,29.5,54,27,518.8,588,534,27,142,206,2.543,6.243,405400,11650,13620,27.95,224.8,28020,1785,2803,7.35,169.1,3958,28710,43,49,33,39
"HE 700 AA",150,670,300,13,17,27,190.9,636,582,27,122,198,2.468,16.46,142700,4260,4840,27.34,100.3,7673,511.5,799.7,6.34,78.63,195.2,8155,114,129,86,102
"HE 700 A",204,690,300,14.5,27,27,260.5,636,582,27,124,198,2.505,12.25,215300,6241,7032,28.75,117,12180,811.9,1257,6.84,100.1,513.9,13350,85,96,64,76
"HE 700 B",241,700,300,17,32,27,306.4,636,582,27,126,198,2.52,10.48,256900,7340,8327,28.96,137.1,14440,962.7,1495,6.87,112.6,830.9,16060,72,82,55,65
"HE 700 M",301,716,304,21,40,27,383,636,582,27,132,200,2.56,8.513,329300,9198,10540,29.32,169.8,18800,1237,1929,7.01,132.6,1589,21400,59,67,45,53
"HE 700 x 352",352,728,308,25,46,27,448.6,636,582,27,138,200,2.592,7.359,389700,10710,12390,29.47,201.6,22510,1461,2293,7.08,148.6,2461,26050,51,58,39,46
"HE 700 x 418",418,744,313,29.5,54,27,531.9,636,582,27,142,206,2.635,6.31,472500,12700,14840,29.8,239,27760,1774,2797,7.22,169.1,3989,32850,44,50,34,40
"HE 800 AA",172,770,300,14,18,30,218.5,734,674,27,130,198,2.66,15.51,208900,5426,6225,30.92,123.8,8134,542.2,856.6,6.1,85.15,256.8,11450,108,122,84,98
"HE 800 A",224,790,300,15,28,30,285.8,734,674,27,130,198,2.698,12.03,303400,7682,8699,32.58,138.8,12640,842.6,1312,6.65,106.1,596.9,18290,84,94,66,76
"HE 800 B",262,800,300,17.5,33,30,334.2,734,674,27,134,198,2.713,10.34,359100,8977,10230,32.78,161.8,14900,993.6,1553,6.68,118.6,946,21840,72,81,57,66
"HE 800 M",317,814,303,21,40,30,404.3,734,674,27,138,198,2.746,8.655,442600,10870,12490,33.09,194.3,18630,1230,1930,6.79,136.1,1646,27780,60,68,48,55
"HE 800 x 373",373,826,308,25,46,30,474.6,734,674,27,144,200,2.782,7.469,523900,12690,14700,33.23,230.3,22530,1463,2311,6.89,152.1,2554,34070,52,59,41,48
"HE 800 x 444",444,842,313,30,54,30,566,734,674,27,148,206,2.824,6.357,634500,15070,17640,33.48,276.5,27800,1776,2827,7.01,173.1,4180,42840,44,50,35,41
"HE 900 AA",198,870,300,15,20,30,252.2,830,770,27,130,198,2.858,14.44,301100,6923,7999,34.55,147.2,9041,602.8,957.7,5.99,90.15,334.9,16260,101,113,81,93
"HE 900 A",252,890,300,16,30,30,320.5,830,770,27,132,198,2.896,11.51,422100,9485,10810,36.29,163.3,13550,903.2,1414,6.5,111.1,736.8,24960,81,90,65,74
"HE 900 B",291,900,300,18.5,35,30,371.3,830,770,27,134,198,2.911,9.99,494100,10980,12580,36.48,188.8,15820,1054,1658,6.53,123.6,1137,29460,70,78,57,65
"HE 900 M",333,910,302,21,40,30,423.6,830,770,27,138,198,2.934,8.824,570400,12540,14440,36.7,214.4,18450,1222,1929,6.6,136.1,1671,34750,62,69,50,57
"HE 900 x 391",391,922,307,25,46,30,497.7,830,770,27,144,200,2.97,7.604,674300,14630,16990,36.81,254.3,22320,1454,2312,6.7,152.1,2597,42560,54,60,43,49
"HE 900 x 466",466,938,312,30,54,30,593.7,830,770,27,148,204,3.012,6.464,814900,17380,20380,37.05,305.3,27560,1767,2832,6.81,173.1,4256,53400,45,51,37,42
"HE 1000 AA",222,970,300,16,21,30,282.2,928,868,27,132,198,3.056,13.8,406500,8380,9777,37.95,172.2,9501,633.4,1016,5.8,93.15,403.4,21280,98,108,79,90
"HE 1000 x 249",249,980,300,16.5,26,30,316.8,928,868,27,134,194,3.08,12.37,481100,9818,11350,38.97,180.7,11750,784,1245,6.09,103.6,584.4,26620,88,97,71,81
"HE 1000 A",272,990,300,16.5,31,30,346.8,928,868,27,132,198,3.095,11.37,553800,11190,12820,39.96,184.6,14000,933.6,1470,6.35,113.6,822.4,32070,81,89,66,74
"HE 1000 B",314,1000,300,19,36,30,400,928,868,27,134,198,3.11,9.905,644700,12890,14860,40.15,212.5,16280,1085,1716,6.38,126.1,1254,37640,70,78,57,65
